n,density,dense_solve_ms,sparse_solve_ms,solve_ratio,dense_status,sparse_status
200,0.00500,117.00,6.40,18.3000,optimal,optimal
200,0.01000,85.20,6.10,13.9200,optimal,optimal
200,0.02000,136.30,15.70,8.6700,optimal,optimal
200,0.03000,100.20,26.20,3.8200,optimal,optimal
200,0.05000,14.10,8.30,1.6900,optimal,optimal
200,0.07500,14.20,10.40,1.3600,optimal,optimal
200,0.10000,14.60,13.60,1.0800,optimal,optimal
200,0.12500,14.20,14.00,1.0200,optimal,optimal
200,0.15000,14.20,15.40,0.9200,optimal,optimal
200,0.20000,14.50,16.80,0.8600,optimal,optimal
200,0.30000,14.90,21.40,0.7000,optimal,optimal
400,0.00500,523.70,11.50,45.7100,optimal,optimal
400,0.01000,807.00,57.20,14.1100,optimal,optimal
400,0.02000,65.90,18.50,3.5700,optimal,optimal
400,0.03000,63.00,24.50,2.5700,optimal,optimal
400,0.05000,62.80,38.10,1.6500,optimal,optimal
400,0.07500,63.40,52.70,1.2000,optimal,optimal
400,0.10000,64.70,59.70,1.0800,optimal,optimal
400,0.12500,65.80,67.80,0.9700,optimal,optimal
400,0.15000,63.50,74.20,0.8600,optimal,optimal
400,0.20000,63.70,86.50,0.7400,optimal,optimal
400,0.30000,63.00,133.80,0.4700,optimal,optimal
800,0.00500,11493.10,476.80,24.1000,optimal,optimal
800,0.01000,694.40,127.70,5.4400,optimal,optimal
800,0.02000,709.80,195.00,3.6400,optimal,optimal
800,0.03000,680.30,260.80,2.6100,optimal,optimal
800,0.05000,630.70,394.50,1.6000,optimal,optimal
800,0.07500,649.00,486.30,1.3300,optimal,optimal
800,0.10000,621.10,555.50,1.1200,optimal,optimal
800,0.12500,624.70,618.40,1.0100,optimal,optimal
800,0.15000,618.40,690.20,0.9000,optimal,optimal
800,0.20000,627.50,844.80,0.7400,optimal,optimal
800,0.30000,624.60,1131.00,0.5500,optimal,optimal
1200,0.00500,20407.50,2650.70,7.7000,optimal,optimal
1200,0.01000,1876.80,282.30,6.6500,optimal,optimal
1200,0.02000,1900.30,487.60,3.9000,optimal,optimal
1200,0.03000,1893.00,725.70,2.6100,optimal,optimal
1200,0.05000,1888.70,1091.10,1.7300,optimal,optimal
1200,0.07500,1895.50,1323.20,1.4300,optimal,optimal
1200,0.10000,1884.90,1544.20,1.2200,optimal,optimal
1200,0.12500,1898.20,1766.10,1.0700,optimal,optimal
1200,0.15000,1930.90,2031.80,0.9500,optimal,optimal
1200,0.20000,1911.40,2471.50,0.7700,optimal,optimal
1200,0.30000,1915.80,3456.00,0.5500,optimal,optimal
