n,m_rows,density,dense_solve_ms,sparse_solve_ms,solve_ratio
400,100,0.0200,102.18,7.89,12.9508
400,100,0.0500,87.21,63.67,1.3697
400,100,0.0750,93.89,53.83,1.7441
400,100,0.1000,89.18,71.38,1.2494
400,100,0.1500,87.79,121.39,0.7232
400,100,0.2000,91.19,99.22,0.9191
400,100,0.3000,93.86,109.35,0.8584
400,400,0.0200,65.74,19.31,3.4046
400,400,0.0500,64.69,39.04,1.6569
400,400,0.0750,65.51,56.30,1.1635
400,400,0.1000,66.88,63.53,1.0528
400,400,0.1500,65.79,79.15,0.8312
400,400,0.2000,67.56,91.77,0.7362
400,400,0.3000,64.76,129.37,0.5006
400,1600,0.0200,199.90,66.55,3.0037
400,1600,0.0500,272.68,209.90,1.2991
400,1600,0.0750,381.42,251.44,1.5169
400,1600,0.1000,343.90,283.65,1.2124
400,1600,0.1500,333.44,359.11,0.9285
400,1600,0.2000,332.19,436.99,0.7602
400,1600,0.3000,337.15,599.03,0.5628
400,4000,0.0200,728.77,198.09,3.6791
400,4000,0.0500,737.10,331.39,2.2243
400,4000,0.0750,730.00,425.40,1.7160
400,4000,0.1000,727.65,524.04,1.3885
400,4000,0.1500,720.21,717.53,1.0037
400,4000,0.2000,729.22,930.18,0.7840
400,4000,0.3000,718.28,1325.01,0.5421
