solver,n,m,density,dense_solve_ms,sparse_solve_ms,solve_ratio,dense_status,sparse_status
IPOPT,400,200,0.0200,165.31,9.67,17.0946,optimal,optimal
IPOPT,400,200,0.0500,112.06,15.47,7.2444,optimal,optimal
IPOPT,400,200,0.1000,109.53,24.54,4.4631,optimal,optimal
IPOPT,400,200,0.2000,113.74,74.18,1.5333,optimal,optimal
IPOPT,400,200,0.3000,153.53,103.07,1.4896,optimal,optimal
IPOPT,400,200,0.4000,107.21,114.16,0.9392,optimal,optimal
IPOPT,400,200,0.5000,113.51,133.76,0.8486,optimal,optimal
IPOPT,400,200,0.6500,104.25,199.49,0.5226,optimal,optimal
IPOPT,400,200,0.8000,105.15,205.88,0.5107,optimal,optimal
IPOPT,400,200,1.0000,103.91,104.03,0.9988,optimal,optimal
UNO,400,200,0.0200,109.48,15.84,6.9131,optimal,optimal
UNO,400,200,0.0500,117.58,26.22,4.4841,optimal,optimal
UNO,400,200,0.1000,118.41,33.66,3.5181,optimal,optimal
UNO,400,200,0.2000,119.54,46.40,2.5763,optimal,optimal
UNO,400,200,0.3000,119.17,58.81,2.0263,optimal,optimal
UNO,400,200,0.4000,119.04,71.68,1.6606,optimal,optimal
UNO,400,200,0.5000,125.61,118.54,1.0597,optimal,optimal
UNO,400,200,0.6500,183.55,159.79,1.1487,optimal,optimal
UNO,400,200,0.8000,188.20,194.63,0.9669,optimal,optimal
UNO,400,200,1.0000,195.59,190.70,1.0257,optimal,optimal
